tx_id	g_id	g_name	g_biotype	t_name	t_biotype
ENST00000424294	ENSG00000117640	MTFR1L	protein_coding	MTFR1L-205	protein_coding
ENST00000533762	ENSG00000117640	MTFR1L	protein_coding	MTFR1L-223	protein_coding
ENST00000529116	ENSG00000117640	MTFR1L	protein_coding	MTFR1L-220	protein_coding
ENST00000474295	ENSG00000117640	MTFR1L	protein_coding	MTFR1L-210	protein_coding
ENST00000488327	ENSG00000117640	MTFR1L	protein_coding	MTFR1L-212	protein_coding
ENST00000472643	ENSG00000117640	MTFR1L	protein_coding	MTFR1L-209	protein_coding
ENST00000374303	ENSG00000117640	MTFR1L	protein_coding	MTFR1L-203	protein_coding
ENST00000494293	ENSG00000117640	MTFR1L	protein_coding	MTFR1L-213	retained_intron
ENST00000469815	ENSG00000117640	MTFR1L	protein_coding	MTFR1L-208	protein_coding_CDS_not_defined
ENST00000526894	ENSG00000117640	MTFR1L	protein_coding	MTFR1L-218	protein_coding
ENST00000478284	ENSG00000117640	MTFR1L	protein_coding	MTFR1L-211	nonsense_mediated_decay
ENST00000524618	ENSG00000117640	MTFR1L	protein_coding	MTFR1L-215	protein_coding
ENST00000374307	ENSG00000117640	MTFR1L	protein_coding	MTFR1L-204	protein_coding
ENST00000528624	ENSG00000117640	MTFR1L	protein_coding	MTFR1L-219	nonsense_mediated_decay
ENST00000525713	ENSG00000117640	MTFR1L	protein_coding	MTFR1L-216	protein_coding
ENST00000374301	ENSG00000117640	MTFR1L	protein_coding	MTFR1L-202	protein_coding
ENST00000464008	ENSG00000117640	MTFR1L	protein_coding	MTFR1L-206	nonsense_mediated_decay
ENST00000526158	ENSG00000117640	MTFR1L	protein_coding	MTFR1L-217	protein_coding
ENST00000530599	ENSG00000117640	MTFR1L	protein_coding	MTFR1L-221	nonsense_mediated_decay
ENST00000374300	ENSG00000117640	MTFR1L	protein_coding	MTFR1L-201	protein_coding
ENST00000466284	ENSG00000117640	MTFR1L	protein_coding	MTFR1L-207	protein_coding
ENST00000531361	ENSG00000117640	MTFR1L	protein_coding	MTFR1L-222	protein_coding_CDS_not_defined
ENST00000497956	ENSG00000117640	MTFR1L	protein_coding	MTFR1L-214	retained_intron
ENST00000464121	ENSG00000244020	MT1HL1	protein_coding	MT1HL1-201	protein_coding
ENST00000540243	ENSG00000143033	MTF2	protein_coding	MTF2-213	protein_coding
ENST00000545708	ENSG00000143033	MTF2	protein_coding	MTF2-214	protein_coding
ENST00000474314	ENSG00000143033	MTF2	protein_coding	MTF2-207	protein_coding_CDS_not_defined
ENST00000473430	ENSG00000143033	MTF2	protein_coding	MTF2-206	protein_coding_CDS_not_defined
ENST00000370298	ENSG00000143033	MTF2	protein_coding	MTF2-201	protein_coding
ENST00000494963	ENSG00000143033	MTF2	protein_coding	MTF2-211	protein_coding_CDS_not_defined
ENST00000471953	ENSG00000143033	MTF2	protein_coding	MTF2-205	protein_coding_CDS_not_defined
ENST00000370303	ENSG00000143033	MTF2	protein_coding	MTF2-202	protein_coding
ENST00000467953	ENSG00000143033	MTF2	protein_coding	MTF2-203	protein_coding_CDS_not_defined
ENST00000497976	ENSG00000143033	MTF2	protein_coding	MTF2-212	protein_coding_CDS_not_defined
ENST00000468457	ENSG00000143033	MTF2	protein_coding	MTF2-204	retained_intron
ENST00000476037	ENSG00000143033	MTF2	protein_coding	MTF2-208	protein_coding_CDS_not_defined
ENST00000487263	ENSG00000143033	MTF2	protein_coding	MTF2-209	protein_coding_CDS_not_defined
ENST00000489480	ENSG00000143033	MTF2	protein_coding	MTF2-210	protein_coding_CDS_not_defined
ENST00000680454	ENSG00000116984	MTR	protein_coding	MTR-213	retained_intron
ENST00000366577	ENSG00000116984	MTR	protein_coding	MTR-202	protein_coding
ENST00000674797	ENSG00000116984	MTR	protein_coding	MTR-210	protein_coding
ENST00000652435	ENSG00000116984	MTR	protein_coding	MTR-208	nonsense_mediated_decay
ENST00000679569	ENSG00000116984	MTR	protein_coding	MTR-211	retained_intron
ENST00000650888	ENSG00000116984	MTR	protein_coding	MTR-206	nonsense_mediated_decay
ENST00000463959	ENSG00000116984	MTR	protein_coding	MTR-203	nonsense_mediated_decay
ENST00000535889	ENSG00000116984	MTR	protein_coding	MTR-205	protein_coding
ENST00000651455	ENSG00000116984	MTR	protein_coding	MTR-207	nonsense_mediated_decay
ENST00000681102	ENSG00000116984	MTR	protein_coding	MTR-214	protein_coding
ENST00000679842	ENSG00000116984	MTR	protein_coding	MTR-212	protein_coding
ENST00000681177	ENSG00000116984	MTR	protein_coding	MTR-215	protein_coding
ENST00000681937	ENSG00000116984	MTR	protein_coding	MTR-217	retained_intron
ENST00000366576	ENSG00000116984	MTR	protein_coding	MTR-201	protein_coding
ENST00000470570	ENSG00000116984	MTR	protein_coding	MTR-204	retained_intron
ENST00000681813	ENSG00000116984	MTR	protein_coding	MTR-216	protein_coding_CDS_not_defined
ENST00000652483	ENSG00000116984	MTR	protein_coding	MTR-209	protein_coding_CDS_not_defined
ENST00000368376	ENSG00000173171	MTX1	protein_coding	MTX1-202	protein_coding
ENST00000316721	ENSG00000173171	MTX1	protein_coding	MTX1-201	protein_coding
ENST00000424959	ENSG00000173171	MTX1	protein_coding	MTX1-203	nonsense_mediated_decay
ENST00000609421	ENSG00000173171	MTX1	protein_coding	MTX1-207	protein_coding
ENST00000481771	ENSG00000173171	MTX1	protein_coding	MTX1-204	retained_intron
ENST00000495589	ENSG00000173171	MTX1	protein_coding	MTX1-206	protein_coding_CDS_not_defined
ENST00000495492	ENSG00000173171	MTX1	protein_coding	MTX1-205	retained_intron
ENST00000466496	ENSG00000014914	MTMR11	protein_coding	MTMR11-203	protein_coding_CDS_not_defined
ENST00000482025	ENSG00000014914	MTMR11	protein_coding	MTMR11-205	retained_intron
ENST00000439741	ENSG00000014914	MTMR11	protein_coding	MTMR11-202	protein_coding
ENST00000369140	ENSG00000014914	MTMR11	protein_coding	MTMR11-201	protein_coding
ENST00000482343	ENSG00000014914	MTMR11	protein_coding	MTMR11-206	retained_intron
ENST00000492824	ENSG00000014914	MTMR11	protein_coding	MTMR11-208	retained_intron
ENST00000495054	ENSG00000014914	MTMR11	protein_coding	MTMR11-210	retained_intron
ENST00000490310	ENSG00000014914	MTMR11	protein_coding	MTMR11-207	retained_intron
ENST00000493562	ENSG00000014914	MTMR11	protein_coding	MTMR11-209	retained_intron
ENST00000479272	ENSG00000014914	MTMR11	protein_coding	MTMR11-204	retained_intron
ENST00000376592	ENSG00000177000	MTHFR	protein_coding	MTHFR-205	protein_coding
ENST00000376590	ENSG00000177000	MTHFR	protein_coding	MTHFR-204	protein_coding
ENST00000376583	ENSG00000177000	MTHFR	protein_coding	MTHFR-202	protein_coding
ENST00000376585	ENSG00000177000	MTHFR	protein_coding	MTHFR-203	protein_coding
ENST00000641747	ENSG00000177000	MTHFR	protein_coding	MTHFR-214	nonsense_mediated_decay
ENST00000641805	ENSG00000177000	MTHFR	protein_coding	MTHFR-216	retained_intron
ENST00000423400	ENSG00000177000	MTHFR	protein_coding	MTHFR-208	protein_coding
ENST00000641446	ENSG00000177000	MTHFR	protein_coding	MTHFR-212	nonsense_mediated_decay
ENST00000641407	ENSG00000177000	MTHFR	protein_coding	MTHFR-210	protein_coding
ENST00000641759	ENSG00000177000	MTHFR	protein_coding	MTHFR-215	retained_intron
ENST00000641820	ENSG00000177000	MTHFR	protein_coding	MTHFR-217	protein_coding
ENST00000641721	ENSG00000177000	MTHFR	protein_coding	MTHFR-213	protein_coding_CDS_not_defined
ENST00000376486	ENSG00000177000	MTHFR	protein_coding	MTHFR-201	protein_coding
ENST00000641909	ENSG00000177000	MTHFR	protein_coding	MTHFR-218	retained_intron
ENST00000641437	ENSG00000177000	MTHFR	protein_coding	MTHFR-211	retained_intron
ENST00000418034	ENSG00000177000	MTHFR	protein_coding	MTHFR-207	protein_coding
ENST00000431243	ENSG00000177000	MTHFR	protein_coding	MTHFR-209	protein_coding_CDS_not_defined
ENST00000642002	ENSG00000177000	MTHFR	protein_coding	MTHFR-219	protein_coding_CDS_not_defined
ENST00000413656	ENSG00000177000	MTHFR	protein_coding	MTHFR-206	protein_coding
ENST00000469583	ENSG00000117791	MTARC2	protein_coding	MTARC2-204	nonsense_mediated_decay
ENST00000359316	ENSG00000117791	MTARC2	protein_coding	MTARC2-201	protein_coding
ENST00000366913	ENSG00000117791	MTARC2	protein_coding	MTARC2-202	protein_coding
ENST00000425560	ENSG00000117791	MTARC2	protein_coding	MTARC2-203	protein_coding
ENST00000496078	ENSG00000117791	MTARC2	protein_coding	MTARC2-206	protein_coding_CDS_not_defined
ENST00000472447	ENSG00000117791	MTARC2	protein_coding	MTARC2-205	protein_coding_CDS_not_defined
ENST00000694918	ENSG00000186205	MTARC1	protein_coding	MTARC1-208	protein_coding
ENST00000366910	ENSG00000186205	MTARC1	protein_coding	MTARC1-201	protein_coding
ENST00000694919	ENSG00000186205	MTARC1	protein_coding	MTARC1-209	protein_coding
ENST00000694920	ENSG00000186205	MTARC1	protein_coding	MTARC1-210	retained_intron
ENST00000694921	ENSG00000186205	MTARC1	protein_coding	MTARC1-211	retained_intron
ENST00000694922	ENSG00000186205	MTARC1	protein_coding	MTARC1-212	protein_coding
