Type,Gene,Strand,Start,End
tRNA,TRNF,+,577,647
rRNA,RNR1,+,648,1601
tRNA,TNRV,+,1602,1670
rRNA,RNR2,+,1671,3228
tRNA,TRNL1,+,3229,3303
mRNA,ND1,+,3304,4262
tRNA,TRNI,+,4262,4330
tRNA,tRNM,+,4401,4468
mRNA,ND2,+,4469,5512
tRNA,TRNW,+,5511,5578
mRNA,COX1,+,5899,7516
tRNA,TNRD,+,7517,7584
mRNA,COX2,+,7585,8268
tRNA,TNRK,+,8294,8363
mRNA,ATP68,+,8364,9205
mRNA,COX3,+,9206,9991
tRNA,TRNG,+,9990,10057
mRNA,ND3,+,10058,10405
tRNA,TRNR,+,10404,10468
mRNA,ND4L_4,+,10469,12138
tRNA,TRNH,+,12137,12205
tRNA,TRNS2,+,12206,12264
tRNA,TRNL2,+,12265,12335
mRNA,ND5,+,12336,14147
mRNA,CYTB,+,14746,15888
tRNA,TRNT,+,15887,15952
