Position	Coverage
1	19258
2	18511
3	19587
4	20536
5	21632
6	22292
7	22062
8	21645
9	20506
10	20771
11	21972
12	22803
13	22972
14	22826
15	23473
16	24018
17	24589
18	25105
19	26523
20	27168
21	27420
22	27434
23	27849
24	27090
25	26666
26	26709
27	27441
28	28244
29	28676
30	29222
31	29582
32	29662
33	30555
34	30704
35	31105
36	30102
37	29904
38	30620
39	31088
40	32458
41	33770
42	34254
43	34769
44	35151
45	36389
46	36003
47	36347
48	35902
49	36060
50	36503
51	37801
52	38465
53	37432
54	37390
55	36692
56	37696
57	37587
58	38420
59	38988
60	38608
61	37841
62	37682
63	36705
64	38294
65	39825
66	42354
67	42736
68	43217
69	43156
70	43521
71	41888
72	42451
73	41326
74	43460
75	43315
76	43871
77	44129
78	43932
79	44393
80	44466
81	44341
82	44592
83	45383
84	45128
85	45834
86	44357
87	43795
88	43979
89	44809
90	46006
91	46363
92	45776
93	46385
94	44054
95	44170
96	44327
97	46325
98	46483
99	47306
100	47738
101	46172
102	45149
103	43933
104	45597
105	46408
106	47759
107	46844
108	45505
109	45826
110	45401
111	45982
112	45972
113	47279
114	48441
115	48270
116	48060
117	47609
118	48213
119	47971
120	47102
121	48209
122	49165
123	49581
124	49671
125	48841
126	49056
127	48414
128	49368
129	48963
130	48760
131	47407
132	47413
133	48190
134	49740
135	49609
136	48179
137	46929
138	46350
139	46491
140	46946
141	48043
142	48156
143	46610
144	45780
145	45606
146	46994
147	47112
148	48319
149	46699
150	45899
151	46069
152	47423
153	48675
154	48610
155	48313
156	47975
157	47210
158	47662
159	46807
160	46522
161	45865
162	44806
163	44721
164	43460
165	43334
166	42225
167	42979
168	43428
169	44080
170	43042
171	43198
172	41168
173	41638
174	41848
175	44354
176	44679
177	42881
178	42283
179	42121
180	41810
181	42023
182	41413
183	40753
184	38783
185	37653
186	37716
187	38320
188	38903
189	38659
190	37886
191	38387
192	37708
193	37256
194	35469
195	35636
196	35556
197	35954
198	35929
199	36118
200	36667
201	36562
202	35785
203	35146
204	34484
205	34762
206	34425
207	33987
208	33816
209	34128
210	34462
211	33683
212	33628
213	32529
214	32548
215	31729
216	31219
217	30469
218	30512
219	30322
220	29207
221	28187
222	27548
223	28000
224	28477
225	28781
226	28945
227	28980
228	27925
229	27153
230	27163
231	27190
232	27353
233	27613
234	27530
235	27554
236	27366
237	27254
238	27156
239	26840
240	26275
241	25763
242	25170
243	25249
244	25246
245	25063
246	24686
247	24688
